annee;date;site;pontes;pontes_correction;traces;mission;modalite;nb_ilots;comptage;date_debut;date_fin;nb_jours
2017;01/10/2017-21/10/2017;GLS_outseason;0;0;0;100;out_season;24;1;01/10/2017;21/10/2017;20
2017;22/10/2017-12/11/2017;GLS_outseason;0;0;0;101;out_season;24;1;22/10/2017;12/11/2017;21
2017;13/11/2017-04/12/2017;atire;7;10;10;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;13/11/2017-04/12/2017;gi;5;7;7;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;13/11/2017-04/12/2017;ieroue;0;0;0;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;14/11/2017-05/12/2017;kouare;3;4;4;1;rapproche;1;0;14/11/2017;05/12/2017;21
2017;14/11/2017-05/12/2017;nda;5;7;6;1;rapproche;1;0;14/11/2017;05/12/2017;21
2017;13/11/2017-04/12/2017;nge;4;5;8;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;14/11/2017-05/12/2017;redika;2;3;6;1;rapproche;1;0;14/11/2017;05/12/2017;21
2017;14/11/2017-05/12/2017;tere;1;1;2;1;rapproche;1;0;14/11/2017;05/12/2017;21
2017;13/11/2017-04/12/2017;ua;0;0;0;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;13/11/2017-04/12/2017;uaterembi;3;4;5;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;13/11/2017-04/12/2017;vua;2;3;3;1;rapproche;1;0;13/11/2017;04/12/2017;21
2017;05/12/2017-21/12/2017;atire;10;13;15;2;rapproche;1;1;05/12/2017;21/12/2017;16
2017;05/12/2017-22/12/2017;gi;6;8;13;2;rapproche;1;1;05/12/2017;22/12/2017;17
2017;05/12/2017-21/12/2017;ieroue;2;3;2;2;rapproche;1;1;05/12/2017;21/12/2017;16
2017;06/12/2017-22/12/2017;kouare;4;5;9;2;rapproche;1;1;06/12/2017;22/12/2017;16
2017;06/12/2017-22/12/2017;nda;5;6;17;2;rapproche;1;1;06/12/2017;22/12/2017;16
2017;05/12/2017-21/12/2017;nge;3;4;6;2;rapproche;1;1;05/12/2017;21/12/2017;16
2017;06/12/2017-21/12/2017;redika;3;4;3;2;rapproche;1;1;06/12/2017;21/12/2017;15
2017;06/12/2017-22/12/2017;tere;0;0;0;2;rapproche;1;1;06/12/2017;22/12/2017;16
2017;05/12/2017-22/12/2017;ua;3;4;8;2;rapproche;1;1;05/12/2017;22/12/2017;17
2017;05/12/2017-21/12/2017;uaterembi;1;1;9;2;rapproche;1;1;05/12/2017;21/12/2017;16
2017;05/12/2017-21/12/2017;vua;2;3;2;2;rapproche;1;1;05/12/2017;21/12/2017;16
2017;23/12/2017-05/01/2018;gi;7;8;9;3;rapproche;1;1;23/12/2017;05/01/2018;13
2017;23/12/2017-05/01/2018;nda;4;5;4;3;rapproche;1;1;23/12/2017;05/01/2018;13
2017;22/12/2017-05/01/2018;nge;2;2;4;3;rapproche;1;1;22/12/2017;05/01/2018;14
2017;23/12/2017-05/01/2018;tere;0;0;0;3;rapproche;1;1;23/12/2017;05/01/2018;13
2017;23/12/2017-05/01/2018;ua;0;0;0;3;rapproche;1;1;23/12/2017;05/01/2018;13
